logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
115,58,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.00928992340468,0.0470538330264389,0.952628041151911
116,59,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.028556936527,0.0490185413509607,0.4987647905945778
117,59,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.24988224589635,0.0524387499317526,1.0263772918842733
118,60,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,50.98045909277354,0.0475635416805744,0.5114177111536264
119,60,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.423040885931417,0.0473430422134697,1.0608507939614356
120,61,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.50220877903069,0.0497684995643794,0.5007577915675938
121,61,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.744370667944423,0.0504756672307848,1.0182989998720586
122,62,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,53.84859018559771,0.0439909580163657,0.5277060405351222
123,62,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.253153093275145,0.0513018751516938,1.002653956413269
124,63,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.68352098315411,0.0437869587913155,0.5026112920604646
125,63,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.18159535665624,0.0482525830157101,0.97496179305017
126,64,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.19382997026299,0.0452051251195371,0.4900278337299824
127,64,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.494418642710723,0.0507678748108446,0.9814462517388164
128,65,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,64.30854450755972,0.0429424997419118,0.4902270003221929
129,65,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,39.8876881269676,0.0463309581391513,0.9831695817410946
130,66,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,52.331958664941794,0.0470223748125135,0.4784164992161095
131,66,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.28284784864441,0.050065916031599,0.9816262079402804
132,67,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,38.7129394695669,0.0416002091951668,0.4816494602710008
133,67,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.185226535029752,0.0453132083639502,0.96863933512941
134,68,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.1551683887708,0.0435597910545766,0.4782334174960851
135,68,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,31.699013306558868,0.0456722918897867,0.9453740837052464
136,69,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.6021518836108,0.0463002501055598,0.4666687501594424
137,69,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.703678276966667,0.0503419172018766,0.938275626860559
138,70,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,33.751694005303264,0.044491458684206,0.4747621235437691
139,70,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.913773122542977,0.0475288340821862,0.9668164141476154
140,71,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.21923074669329,0.0439874581061303,0.4813557076267898
141,71,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.945047727876084,0.0479493332095444,0.9521294557489456
